status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
completedFromNCAA,NCAA D1 Women,0.548756,91,0,138.0,121,48.932,11,2022-02-19,15,10543
completedFromNCAA,NCAA D1 Women,0.899385,91,1,80.0,160,3.194,14,2022-02-26,10,10544
completedFromNCAA,NCAA D1 Women,0.0822416,91,1,151.0,112,55.826,11,2022-03-02,19,10545
completedFromNCAA,NCAA D1 Women,0.203928,91,1,108.0,106,38.075,11,2022-03-04,14,10546
completedFromNCAA,NCAA D1 Women,0.640472,143,0,128.0,91,60.735,9,2022-03-09,15,10547
completedFromNCAA,NCAA D1 Women,0.938671,151,2,55.0,91,25.511,10,2022-03-11,11,10548
completedFromNCAA,NCAA D1 Women,0.411117,173,1,95.0,91,28.254,11,2022-03-20,6,10549
completedFromNCAA,NCAA D1 Women,0.332259,91,1,130.0,163,39.71,10,2022-03-23,13,10550
completedFromNCAA,NCAA D1 Women,0.9574,91,1,142.0,96,2.175,22,2022-03-26,7,10551
completedFromNCAA,NCAA D1 Women,0.528742,92,1,118.0,91,29.275,20,2022-04-02,9,10552
completedFromLiveStats,NCAA D1 Women,0.867902,93,1,98.0,91,4.308,14,2022-04-09,10,10553
scheduled,NCAA D1 Women,0.995392,132,,,91,,,2022-04-30,,10554
completedFromNCAA,NCAA D1 Women,0.80237,111,3,175.0,92,7.524,18,2022-02-12,13,10556
completedFromNCAA,NCAA D1 Women,0.232624,95,1,89.0,92,25.481,14,2022-02-19,12,10557
completedFromNCAA,NCAA D1 Women,0.268437,92,1,114.0,150,54.663,11,2022-02-25,17,10558
completedFromNCAA,NCAA D1 Women,0.679102,92,0,128.0,186,15.302,18,2022-03-04,11,10559
completedFromNCAA,NCAA D1 Women,0.913475,92,1,115.0,127,2.71,10,2022-03-06,6,10560
completedFromNCAA,NCAA D1 Women,0.132551,119,1,127.0,92,66.128,7,2022-03-11,18,10561
completedFromNCAA,NCAA D1 Women,0.825748,197,3,81.0,92,4.003,18,2022-03-16,16,10562
completedFromNCAA,NCAA D1 Women,0.671335,92,1,101.0,149,43.704,9,2022-03-20,12,10563
completedFromNCAA,NCAA D1 Women,0.428671,92,0,155.0,152,57.262,8,2022-03-23,14,10564
completedFromNCAA,NCAA D1 Women,0.651293,113,1,78.0,92,8.996,13,2022-03-27,11,10565
completedFromNCAA,NCAA D1 Women,0.285544,92,0,149.0,100,47.71,15,2022-04-05,6,10566
scheduled,NCAA D1 Women,0.833117,93,,,92,,,2022-04-30,,10567
completedFromNCAA,NCAA D1 Women,0.037684,92,1,132.0,132,60.238,9,2022-04-23,20,10568
completedFromNCAA,NCAA D1 Women,0.829339,100,5,102.0,186,2.467,14,2022-02-11,13,10569
completedFromNCAA,NCAA D1 Women,0.948136,100,0,163.0,127,2.323,19,2022-02-13,9,10570
completedFromNCAA,NCAA D1 Women,0.356525,128,0,151.0,100,42.595,18,2022-02-18,9,10571
completedFromNCAA,NCAA D1 Women,0.564048,202,0,138.0,100,26.541,18,2022-02-20,7,10572
completedFromNCAA,NCAA D1 Women,0.501696,97,1,76.0,100,17.643,14,2022-02-26,11,10573
completedFromNCAA,NCAA D1 Women,0.972945,129,1,152.0,100,1.309,22,2022-03-01,8,10574
completedFromNCAA,NCAA D1 Women,0.00851117,101,1,127.0,100,52.235,10,2022-03-05,19,10575
completedFromNCAA,NCAA D1 Women,0.474678,100,2,179.0,93,61.958,9,2022-03-09,16,10576
completedFromNCAA,NCAA D1 Women,0.990898,100,1,111.0,94,0.403,21,2022-03-13,8,10577
completedFromNCAA,NCAA D1 Women,0.917261,100,1,174.0,98,2.581,16,2022-03-17,12,10578
completedFromNCAA,NCAA D1 Women,0.355913,99,2,63.0,100,19.991,11,2022-03-26,12,10579
completedFromNCAA,NCAA D1 Women,0.341988,142,5,103.0,100,19.911,12,2022-03-31,13,10580
completedFromNCAA,NCAA D1 Women,0.312124,100,0,140.0,944,40.752,17,2022-04-09,10,10581
completedFromNCAA,NCAA D1 Women,0.991632,100,1,110.0,96,0.442,23,2022-04-16,13,10582
completedFromNCAA,NCAA D1 Women,0.551867,100,0,154.0,166,68.814,10,2022-04-18,19,10583
manualFinal,NCAA D1 Women,0.173387,95,,,100,18.504,14,2022-04-23,15,10584
completedFromNCAA,NCAA D1 Women,0.626975,145,0,166.0,101,20.3,18,2022-02-12,9,10585
completedFromNCAA,NCAA D1 Women,0.993555,196,1,121.0,101,0.301,22,2022-02-19,6,10587
completedFromNCAA,NCAA D1 Women,0.0291214,101,1,122.0,99,50.404,15,2022-02-23,22,10588
completedFromNCAA,NCAA D1 Women,0.0105085,101,1,138.0,159,44.63,9,2022-02-26,15,10589
completedFromNCAA,NCAA D1 Women,0.11393,101,1,68.0,127,42.39,5,2022-03-09,9,10590
completedFromNCAA,NCAA D1 Women,0.995523,158,1,133.0,101,0.186,21,2022-03-13,9,10591
completedFromNCAA,NCAA D1 Women,0.635336,94,0,104.0,101,21.607,15,2022-03-20,16,10592
completedFromNCAA,NCAA D1 Women,0.00355826,101,1,124.0,944,45.143,12,2022-03-26,19,10593
completedFromNCAA,NCAA D1 Women,0.982231,155,1,122.0,101,0.769,16,2022-03-30,5,10594
completedFromNCAA,NCAA D1 Women,0.994991,97,1,161.0,101,0.195,18,2022-04-02,8,10595
completedFromNCAA,NCAA D1 Women,0.977126,95,1,191.0,101,0.787,16,2022-04-09,10,10596
completedFromNCAA,NCAA D1 Women,0.00463147,101,1,127.0,161,62.316,1,2022-04-12,17,10597
completedFromNCAA,NCAA D1 Women,0.0766006,101,0,84.0,98,23.529,16,2022-04-16,15,10598
completedFromNCAA,NCAA D1 Women,0.827613,96,1,91.0,101,5.036,15,2022-04-22,13,10599
completedFromNCAA,NCAA D1 Women,0.524862,103,1,167.0,197,69.547,8,2022-02-12,17,10600
completedFromNCAA,NCAA D1 Women,0.36715,103,1,153.0,196,56.3,10,2022-02-16,16,10601
completedFromNCAA,NCAA D1 Women,0.875619,182,1,142.0,103,0.642,20,2022-03-23,7,10602
completedFromNCAA,NCAA D1 Women,0.914953,103,1,133.0,119,3.215,17,2022-02-23,11,10603
completedFromNCAA,NCAA D1 Women,0.55645,179,1,111.0,103,17.453,10,2022-02-27,6,10604
completedFromNCAA,NCAA D1 Women,0.475291,103,0,117.0,168,41.312,10,2022-03-05,13,10605
completedFromNCAA,NCAA D1 Women,0.0816764,103,1,112.0,169,64.044,5,2022-03-09,16,10606
completedFromNCAA,NCAA D1 Women,0.90642,165,1,152.0,103,3.285,16,2022-03-14,11,10607
completedFromNCAA,NCAA D1 Women,0.0403508,103,1,143.0,107,59.219,8,2022-03-19,18,10608
completedFromNCAA,NCAA D1 Women,0.940804,103,1,128.0,102,2.678,14,2022-03-26,4,10609
completedFromNCAA,NCAA D1 Women,0.776055,104,2,89.0,103,35.99,10,2022-04-02,12,10610
completedFromNCAA,NCAA D1 Women,0.86735,106,1,146.0,103,5.908,16,2022-04-09,8,10611
completedFromNCAA,NCAA D1 Women,0.0457663,103,1,66.0,108,26.931,12,2022-04-16,14,10612
completedFromNCAA,NCAA D1 Women,0.507161,103,0,121.0,155,73.373,3,2022-04-20,14,10613
completedFromNCAA,NCAA D1 Women,0.442703,103,1,201.0,177,46.716,13,2022-04-23,17,10614
scheduled,NCAA D1 Women,0.978202,105,,,103,,,2022-04-30,,10615
completedFromNCAA,NCAA D1 Women,0.996153,105,0,151.0,96,0.178,23,2022-02-13,6,10616
completedFromNCAA,NCAA D1 Women,0.790532,105,1,150.0,197,79.052,4,2022-02-16,14,10617
completedFromNCAA,NCAA D1 Women,0.101797,157,1,150.0,105,70.794,4,2022-02-22,18,10619
completedFromNCAA,NCAA D1 Women,0.940603,105,1,134.0,175,2.181,13,2022-02-26,7,10620
completedFromNCAA,NCAA D1 Women,0.537057,195,0,106.0,105,27.62,18,2022-03-02,8,10621
completedFromNCAA,NCAA D1 Women,0.436039,169,0,125.0,105,34.26,15,2022-03-05,6,10622
completedFromNCAA,NCAA D1 Women,0.717843,105,1,151.0,944,12.305,17,2022-03-13,11,10624
completedFromNCAA,NCAA D1 Women,0.435898,167,1,91.0,105,26.668,16,2022-03-19,11,10625
completedFromNCAA,NCAA D1 Women,0.785475,105,0,154.0,104,7.419,15,2022-03-26,11,10626
completedFromLiveStats,NCAA D1 Women,0.00335277,102,1,126.0,105,59.464,3,2022-04-19,18,10627
completedFromNCAA,NCAA D1 Women,0.690308,105,0,143.0,106,61.731,14,2022-04-06,20,10628
completedFromNCAA,NCAA D1 Women,0.86484,107,0,76.0,105,37.701,9,2022-04-09,11,10629
completedFromNCAA,NCAA D1 Women,0.760714,108,2,124.0,105,22.132,14,2022-04-23,15,10630
completedFromNCAA,NCAA D1 Women,0.00738303,119,0,115.0,107,60.985,4,2022-02-12,18,10631
completedFromNCAA,NCAA D1 Women,0.619653,107,0,148.0,194,18.772,13,2022-02-18,6,10632
completedFromNCAA,NCAA D1 Women,0.211773,169,1,73.0,107,16.716,11,2022-02-20,10,10633
completedFromNCAA,NCAA D1 Women,0.458841,107,0,119.0,181,19.529,10,2022-02-27,7,10634
completedFromNCAA,NCAA D1 Women,0.882911,107,1,144.0,200,3.27,16,2022-03-06,11,10635
completedFromNCAA,NCAA D1 Women,0.181179,107,0,124.0,205,85.341,3,2022-03-09,25,10636
completedFromNCAA,NCAA D1 Women,0.730961,107,0,166.0,167,9.627,15,2022-03-12,11,10637
completedFromNCAA,NCAA D1 Women,0.638702,107,1,110.0,108,15.197,12,2022-03-26,7,10638
completedFromNCAA,NCAA D1 Women,0.11023,106,3,40.0,107,18.216,11,2022-04-02,12,10639
completedFromNCAA,NCAA D1 Women,0.96376,107,1,137.0,177,0.725,11,2022-04-06,9,10640
completedFromNCAA,NCAA D1 Women,0.500771,182,0,140.0,107,29.203,15,2022-04-13,6,10641
completedFromNCAA,NCAA D1 Women,0.0014341,102,1,134.0,107,56.91,1,2022-04-16,16,10642
completedFromNCAA,NCAA D1 Women,0.976901,107,1,111.0,104,1.046,14,2022-04-23,8,10643
scheduled,NCAA D1 Women,0.172641,159,,,107,,,2022-04-26,,10644
completedFromNCAA,NCAA D1 Women,0.128923,168,1,102.0,108,68.127,6,2022-02-12,18,10645
completedFromLiveStats,NCAA D1 Women,0.0204683,155,1,108.0,108,52.225,3,2022-02-19,11,10646
completedFromNCAA,NCAA D1 Women,0.697405,108,1,76.0,182,44.083,7,2022-02-23,10,10647
completedFromNCAA,NCAA D1 Women,0.786841,108,2,70.0,196,46.947,10,2022-03-02,13,10648
completedFromNCAA,NCAA D1 Women,0.0534328,108,1,140.0,183,72.676,4,2022-03-05,20,10649
completedFromNCAA,NCAA D1 Women,0.739692,162,1,113.0,108,7.981,15,2022-03-12,12,10650
completedFromNCAA,NCAA D1 Women,0.115671,177,4,82.0,108,20.475,13,2022-03-16,12,10651
completedFromNCAA,NCAA D1 Women,0.445264,108,0,86.0,164,30.268,18,2022-03-19,11,10652
completedFromNCAA,NCAA D1 Women,0.105038,104,5,107.0,108,50.976,14,2022-04-06,20,10653
completedFromNCAA,NCAA D1 Women,0.998688,108,1,146.0,102,0.054,20,2022-04-09,6,10654
scheduled,NCAA D1 Women,0.800715,108,,,106,,,2022-04-30,,10655
